Location|Position|LocalTime|Conditions|Temperature|Pressure|Humidity
Lisbon|38.7222524,-9.1393366,56.44|1992-12-31T22:47:11|Sunny|13.9|1027.4|78
Porto|41.1579438,-8.6291053,86.96|1992-12-31T22:47:11|Sunny|12.1|1027.8|80
Sydney|-33.8688197,151.2092955,24.54|1992-12-31T22:47:11|Sunny|27.4|1008.7|52
Melbourne|-37.8136276,144.9630576,10.07|1992-12-31T22:47:11|Sunny|17.4|1008.0|60
London|51.5073509,-0.1277583,7.97|1992-12-31T22:47:11|Sunny|12.1|1021.3|80
Shanghai|31.2303904,121.4737021,15.86|1992-12-31T22:47:11|Sunny|14.4|143.9|75
Paris|48.856614,2.3522219,32.53|1992-12-31T22:47:11|Sunny|10.8|1026.3|72
Rome|41.9027835,12.4963655,52.72|1992-12-31T22:47:11|Sunny|12.4|1023.3|80
Berlin|52.5200066,13.404954,36.19|1992-12-31T22:47:11|Rain|3.9|0.0|88
Lima|-12.0463731,-77.042754,138.36|1992-12-31T22:47:11|Rain|19.4|141.8|88
